[i] Train : 19922
[i] Valid : 2214
[i] prediction_op : Tensor("concat:0", shape=(?, 7, 7, 2, 25), dtype=float32)
[i] max_iteration : 249000
[i] decay_iteration : [124500 186750]
[i] iter : 2150, loss : 20.6147, xy_loss : 1.0483, wh_loss : 0.2244, obj_loss : 0.2007, noobj_loss : 8.6363, class_loss : 1.2093, l2_reg_loss : 9.2958, train_time : 44sec
[i] iter : 2200, loss : 20.7838, xy_loss : 1.1408, wh_loss : 0.2493, obj_loss : 0.2267, noobj_loss : 8.5749, class_loss : 1.3066, l2_reg_loss : 9.2855, train_time : 42sec
[i] iter : 2250, loss : 20.5022, xy_loss : 1.0527, wh_loss : 0.2331, obj_loss : 0.2000, noobj_loss : 8.5298, class_loss : 1.2114, l2_reg_loss : 9.2753, train_time : 41sec
[i] iter : 2300, loss : 20.5838, xy_loss : 1.0345, wh_loss : 0.2407, obj_loss : 0.2160, noobj_loss : 8.5072, class_loss : 1.3204, l2_reg_loss : 9.2651, train_time : 42sec
[i] iter : 2350, loss : 20.4187, xy_loss : 1.1103, wh_loss : 0.2379, obj_loss : 0.2177, noobj_loss : 8.3777, class_loss : 1.2202, l2_reg_loss : 9.2549, train_time : 40sec
[i] iter : 2400, loss : 20.1658, xy_loss : 1.0295, wh_loss : 0.2097, obj_loss : 0.1937, noobj_loss : 8.3737, class_loss : 1.1145, l2_reg_loss : 9.2446, train_time : 41sec
[i] iter : 2450, loss : 20.5362, xy_loss : 1.1578, wh_loss : 0.2913, obj_loss : 0.2310, noobj_loss : 8.2719, class_loss : 1.3498, l2_reg_loss : 9.2344, train_time : 42sec
[i] iter : 2500, loss : 20.2644, xy_loss : 1.0592, wh_loss : 0.2375, obj_loss : 0.2111, noobj_loss : 8.2619, class_loss : 1.2705, l2_reg_loss : 9.2243, train_time : 40sec
[i] iter : 2550, loss : 20.0964, xy_loss : 1.0136, wh_loss : 0.2554, obj_loss : 0.2110, noobj_loss : 8.2017, class_loss : 1.2007, l2_reg_loss : 9.2141, train_time : 42sec
[i] iter : 2600, loss : 20.0878, xy_loss : 1.0573, wh_loss : 0.2329, obj_loss : 0.2264, noobj_loss : 8.1634, class_loss : 1.2038, l2_reg_loss : 9.2040, train_time : 40sec
[i] iter : 2650, loss : 20.1371, xy_loss : 1.1187, wh_loss : 0.2448, obj_loss : 0.2397, noobj_loss : 8.0972, class_loss : 1.2429, l2_reg_loss : 9.1938, train_time : 40sec
[i] iter : 2700, loss : 19.7199, xy_loss : 0.9768, wh_loss : 0.2294, obj_loss : 0.1948, noobj_loss : 8.0568, class_loss : 1.0784, l2_reg_loss : 9.1837, train_time : 40sec
[i] iter : 2750, loss : 19.8418, xy_loss : 1.0574, wh_loss : 0.2165, obj_loss : 0.2173, noobj_loss : 8.0087, class_loss : 1.1684, l2_reg_loss : 9.1735, train_time : 40sec
[i] iter : 2800, loss : 19.8793, xy_loss : 1.0734, wh_loss : 0.2584, obj_loss : 0.2242, noobj_loss : 7.9429, class_loss : 1.2169, l2_reg_loss : 9.1634, train_time : 42sec
[i] iter : 2850, loss : 19.8077, xy_loss : 1.0102, wh_loss : 0.2297, obj_loss : 0.2188, noobj_loss : 7.9907, class_loss : 1.2048, l2_reg_loss : 9.1534, train_time : 42sec
[i] iter : 2900, loss : 19.7993, xy_loss : 1.0793, wh_loss : 0.2558, obj_loss : 0.2261, noobj_loss : 7.8378, class_loss : 1.2568, l2_reg_loss : 9.1434, train_time : 40sec
[i] iter : 2950, loss : 19.4200, xy_loss : 0.9536, wh_loss : 0.2302, obj_loss : 0.2089, noobj_loss : 7.8276, class_loss : 1.0664, l2_reg_loss : 9.1333, train_time : 41sec
[i] iter : 3000, loss : 19.4686, xy_loss : 1.0161, wh_loss : 0.2395, obj_loss : 0.2253, noobj_loss : 7.7466, class_loss : 1.1180, l2_reg_loss : 9.1232, train_time : 40sec
[i] iter : 3050, loss : 19.3100, xy_loss : 1.0026, wh_loss : 0.2249, obj_loss : 0.2044, noobj_loss : 7.7068, class_loss : 1.0583, l2_reg_loss : 9.1131, train_time : 42sec
[i] iter : 3100, loss : 19.2401, xy_loss : 0.9631, wh_loss : 0.2166, obj_loss : 0.2161, noobj_loss : 7.6931, class_loss : 1.0482, l2_reg_loss : 9.1030, train_time : 41sec
[i] iter : 3150, loss : 19.1982, xy_loss : 0.9931, wh_loss : 0.2203, obj_loss : 0.2154, noobj_loss : 7.6182, class_loss : 1.0583, l2_reg_loss : 9.0930, train_time : 40sec
[i] iter : 3200, loss : 19.1101, xy_loss : 0.9817, wh_loss : 0.2177, obj_loss : 0.2150, noobj_loss : 7.5591, class_loss : 1.0537, l2_reg_loss : 9.0829, train_time : 39sec
[i] iter : 3250, loss : 19.2289, xy_loss : 1.0321, wh_loss : 0.2431, obj_loss : 0.2209, noobj_loss : 7.5439, class_loss : 1.1159, l2_reg_loss : 9.0729, train_time : 44sec
[i] iter : 3300, loss : 19.1454, xy_loss : 1.0324, wh_loss : 0.2110, obj_loss : 0.2263, noobj_loss : 7.5553, class_loss : 1.0575, l2_reg_loss : 9.0629, train_time : 42sec
[i] iter : 3350, loss : 19.0051, xy_loss : 1.0058, wh_loss : 0.2237, obj_loss : 0.2180, noobj_loss : 7.4744, class_loss : 1.0302, l2_reg_loss : 9.0530, train_time : 41sec
[i] iter : 3400, loss : 18.9502, xy_loss : 0.9643, wh_loss : 0.2167, obj_loss : 0.2271, noobj_loss : 7.4480, class_loss : 1.0509, l2_reg_loss : 9.0431, train_time : 40sec
[i] iter : 3450, loss : 18.9116, xy_loss : 1.0072, wh_loss : 0.2143, obj_loss : 0.2424, noobj_loss : 7.3480, class_loss : 1.0666, l2_reg_loss : 9.0331, train_time : 40sec
[i] iter : 3500, loss : 18.6772, xy_loss : 0.9617, wh_loss : 0.2040, obj_loss : 0.2159, noobj_loss : 7.3192, class_loss : 0.9534, l2_reg_loss : 9.0231, train_time : 41sec
[i] iter : 3550, loss : 18.8185, xy_loss : 1.0134, wh_loss : 0.2348, obj_loss : 0.2231, noobj_loss : 7.2891, class_loss : 1.0451, l2_reg_loss : 9.0131, train_time : 39sec
[i] iter : 3600, loss : 18.6015, xy_loss : 1.0029, wh_loss : 0.2191, obj_loss : 0.2171, noobj_loss : 7.2048, class_loss : 0.9546, l2_reg_loss : 9.0031, train_time : 39sec
[i] iter : 3650, loss : 18.7032, xy_loss : 1.0156, wh_loss : 0.2269, obj_loss : 0.2388, noobj_loss : 7.1634, class_loss : 1.0653, l2_reg_loss : 8.9931, train_time : 38sec
[i] iter : 3700, loss : 18.6076, xy_loss : 0.9696, wh_loss : 0.2165, obj_loss : 0.2271, noobj_loss : 7.1606, class_loss : 1.0505, l2_reg_loss : 8.9833, train_time : 38sec
[i] iter : 3750, loss : 18.5696, xy_loss : 0.9746, wh_loss : 0.2054, obj_loss : 0.2314, noobj_loss : 7.1086, class_loss : 1.0763, l2_reg_loss : 8.9734, train_time : 39sec
[i] iter : 3800, loss : 18.7596, xy_loss : 1.1112, wh_loss : 0.2356, obj_loss : 0.2690, noobj_loss : 7.0386, class_loss : 1.1416, l2_reg_loss : 8.9636, train_time : 38sec
[i] iter : 3850, loss : 18.5481, xy_loss : 1.0229, wh_loss : 0.2575, obj_loss : 0.2400, noobj_loss : 7.0315, class_loss : 1.0423, l2_reg_loss : 8.9539, train_time : 39sec
[i] iter : 3900, loss : 18.3248, xy_loss : 0.9830, wh_loss : 0.2025, obj_loss : 0.2395, noobj_loss : 6.9905, class_loss : 0.9653, l2_reg_loss : 8.9440, train_time : 39sec
[i] iter : 3950, loss : 18.3115, xy_loss : 0.9821, wh_loss : 0.2092, obj_loss : 0.2383, noobj_loss : 6.9435, class_loss : 1.0042, l2_reg_loss : 8.9342, train_time : 39sec
[i] iter : 4000, loss : 18.1841, xy_loss : 0.9941, wh_loss : 0.2016, obj_loss : 0.2187, noobj_loss : 6.8849, class_loss : 0.9605, l2_reg_loss : 8.9244, train_time : 38sec
